month,is_monsoon,rainfall_7day_mm,river_level_m,temperature_c,soil_moisture_pct,flood_risk_score,drought_risk_score
5,0,52.3,3.03,27.0,37.0,50.3,30.6
2,0,10.6,1.9,18.0,34.0,32.9,29.8
5,0,87.9,3.06,27.7,41.7,52.2,37.2
12,0,5.9,1.82,19.4,32.0,3.8,30.1
6,1,148.4,5.65,30.4,47.5,100.0,27.6
2,0,16.0,1.42,18.7,46.5,21.7,22.9
8,1,256.7,7.91,33.3,61.4,100.0,8.6
12,0,8.3,1.83,20.6,29.5,9.1,50.5
11,0,0.0,1.27,22.6,25.1,17.3,38.8
4,0,6.8,2.18,30.3,27.4,28.4,80.0
6,1,83.0,5.13,32.1,32.9,97.0,52.2
7,1,78.9,4.86,29.7,39.3,93.2,47.9
3,0,64.9,2.63,29.6,28.0,34.3,54.0
4,0,30.8,2.57,28.2,35.5,42.4,35.9
3,0,46.8,2.48,33.5,24.9,45.6,58.0
12,0,6.5,0.89,20.8,34.6,14.8,33.5
9,1,146.1,6.03,32.7,44.0,100.0,44.5
11,0,29.5,2.18,20.7,46.4,39.6,14.8
10,0,91.8,4.89,26.8,43.2,79.6,25.2
12,0,15.2,2.68,19.4,46.5,42.1,26.3
2,0,9.9,2.13,20.7,37.7,21.6,38.7
11,0,10.2,1.85,21.3,41.6,35.7,36.9
1,0,18.6,1.97,22.9,33.4,35.8,33.5
6,1,225.0,6.6,31.8,60.1,100.0,0.0
8,1,110.1,3.86,29.8,48.7,78.8,36.5
5,0,71.2,2.4,26.2,44.3,47.6,44.6
2,0,0.0,1.47,16.7,39.3,23.5,23.7
3,0,77.0,1.78,31.2,35.0,19.6,40.5
10,0,95.2,3.08,25.6,43.0,43.6,25.8
4,0,60.8,2.57,29.4,41.3,46.5,47.1
4,0,129.9,3.97,27.7,54.1,65.4,18.9
12,0,5.3,1.21,20.8,31.2,11.7,51.5
2,0,17.4,1.64,19.7,33.1,25.4,42.2
11,0,14.6,2.83,18.0,33.2,51.4,32.9
12,0,13.9,2.18,17.6,42.2,26.9,8.6
8,1,171.2,5.79,35.3,42.8,100.0,33.7
2,0,16.2,1.78,20.3,40.3,29.9,26.8
2,0,24.3,1.97,22.8,38.1,19.4,31.1
4,0,115.5,3.35,30.5,40.2,76.0,40.3
7,1,179.8,5.84,30.0,60.8,100.0,15.3
2,0,24.0,2.59,21.1,29.4,32.9,25.9
6,1,126.0,4.97,31.1,52.3,100.0,36.6
2,0,23.4,1.31,17.1,41.4,16.6,22.5
7,1,121.3,5.1,30.5,33.4,100.0,45.7
1,0,27.0,2.11,21.5,44.8,30.6,35.0
9,1,350.2,8.52,29.8,83.6,100.0,0.0
1,0,13.7,1.75,19.2,34.6,17.3,43.2
3,0,0.0,2.02,26.6,23.9,14.9,57.8
3,0,51.9,2.81,32.3,24.1,46.2,75.6
10,0,110.7,5.05,22.4,60.7,96.5,0.2
1,0,21.1,2.67,21.3,31.5,45.7,50.2
6,1,199.2,7.55,30.4,49.3,100.0,12.4
8,1,257.7,9.53,29.4,66.5,100.0,17.1
7,1,217.3,7.5,30.3,50.2,100.0,8.5
9,1,273.8,8.27,32.7,60.0,100.0,14.4
10,0,100.3,4.09,28.8,47.0,68.5,29.8
5,0,120.2,3.57,27.5,48.4,70.7,31.4
10,0,81.8,3.2,29.7,36.6,59.4,44.4
4,0,99.9,3.11,30.2,40.9,66.3,31.2
12,0,11.6,1.97,22.0,31.9,26.5,19.2
7,1,133.7,4.98,29.6,46.0,100.0,50.2
9,1,311.4,8.52,32.2,67.1,100.0,0.0
11,0,17.4,2.1,21.2,32.7,25.6,14.9
10,0,96.6,3.35,25.0,41.5,79.2,31.0
11,0,16.4,0.67,16.1,36.0,0.0,30.5
7,1,134.8,4.52,25.9,54.7,92.9,10.0
1,0,15.1,1.11,20.2,40.0,3.9,25.7
6,1,290.6,7.98,31.7,63.5,100.0,0.0
3,0,88.3,3.52,24.0,38.0,63.4,39.8
11,0,0.0,1.63,22.6,31.1,22.0,46.0
3,0,62.9,3.4,27.4,48.3,65.3,45.9
3,0,128.8,4.53,30.4,39.9,81.5,45.8
3,0,62.9,3.4,27.9,36.3,55.6,42.0
8,1,41.4,3.89,28.3,34.0,65.1,37.0
7,1,325.8,9.34,32.1,72.6,100.0,0.0
12,0,22.5,2.61,21.7,33.7,58.5,42.1
5,0,67.7,3.41,25.6,45.4,69.0,32.1
4,0,57.7,2.88,23.4,42.2,43.5,35.5
1,0,26.9,2.8,20.3,42.1,44.5,35.2
1,0,9.0,0.27,17.5,40.3,0.0,30.4
5,0,107.9,3.48,29.8,46.8,67.4,31.6
12,0,21.0,1.74,19.0,45.9,29.8,27.9
7,1,198.8,7.37,35.3,58.2,100.0,42.2
11,0,16.6,2.77,14.7,52.4,50.1,0.0
2,0,13.1,0.89,20.3,41.8,4.8,34.6
2,0,26.5,2.88,23.6,31.8,43.1,57.5
11,0,5.5,0.91,17.8,40.8,19.1,17.5
2,0,0.0,0.82,19.6,37.9,0.0,41.8
1,0,21.8,1.79,19.0,47.7,29.9,31.4
5,0,90.8,3.13,25.3,38.6,66.7,20.4
12,0,20.3,0.97,20.6,39.3,11.9,37.7
9,1,211.4,7.32,27.8,56.1,100.0,5.1
2,0,11.5,2.14,19.7,38.5,40.7,31.4
11,0,23.7,2.61,21.3,35.4,37.8,33.1
11,0,14.5,1.53,19.5,39.0,15.4,41.0
10,0,53.9,2.55,24.5,31.4,39.9,40.1
11,0,11.6,1.71,22.6,37.6,19.0,35.1
3,0,136.7,5.25,28.8,48.5,98.8,22.6
12,0,0.0,0.0,17.4,36.8,0.0,27.0
4,0,86.5,2.66,23.8,53.7,50.2,10.3
10,0,14.6,1.8,24.6,30.6,27.6,44.0
7,1,171.7,5.48,32.4,51.6,100.0,27.5
10,0,55.7,2.46,27.7,36.7,55.3,47.3
8,1,19.5,3.01,33.0,27.5,42.5,77.2
8,1,210.0,6.5,30.2,68.5,100.0,6.1
8,1,150.7,5.75,28.7,50.0,100.0,18.9
10,0,0.7,1.89,29.3,23.8,37.7,56.8
9,1,244.6,7.45,29.6,72.4,100.0,0.0
2,0,30.8,1.84,20.5,36.7,21.7,31.0
10,0,119.2,3.78,23.1,41.4,91.0,20.6
7,1,207.6,6.85,29.6,53.8,100.0,15.6
4,0,71.5,1.89,29.5,30.9,22.2,54.0
7,1,282.3,8.62,29.2,60.0,100.0,0.0
12,0,33.5,1.9,22.0,35.6,27.4,34.4
11,0,27.5,2.81,14.2,42.4,36.9,8.1
11,0,4.6,1.95,18.6,41.7,25.5,23.3
6,1,195.5,7.31,30.6,58.0,100.0,21.3
10,0,84.5,2.58,31.4,40.5,39.1,41.8
5,0,10.3,1.48,24.1,27.8,17.6,38.4
9,1,216.1,6.28,32.7,60.7,100.0,23.5
8,1,355.0,9.38,33.6,83.3,100.0,0.0
3,0,91.1,4.07,25.2,45.5,78.6,27.4
4,0,118.6,4.76,26.1,49.1,91.6,26.3
1,0,17.0,1.15,20.4,29.9,17.6,38.5
2,0,14.2,1.51,16.3,44.4,11.1,0.0
6,1,209.4,6.84,29.9,66.4,100.0,8.1
6,1,117.2,5.39,34.2,41.8,100.0,56.2
2,0,4.4,0.53,21.3,30.6,6.9,48.3
6,1,277.5,7.29,30.6,66.3,100.0,0.0
8,1,285.7,8.71,31.3,65.7,100.0,14.2
3,0,37.3,1.08,28.5,31.0,3.1,41.9
5,0,101.9,3.27,28.9,45.4,69.9,25.2
5,0,67.1,2.94,25.6,41.0,50.5,41.0
7,1,206.2,7.07,34.8,58.1,100.0,25.9
5,0,85.2,3.12,30.3,40.4,53.7,43.4
9,1,256.6,7.61,32.7,58.0,100.0,5.5
4,0,72.7,3.46,24.9,38.5,54.7,44.8
6,1,288.6,8.64,28.4,67.7,100.0,0.0
5,0,80.2,2.72,26.2,40.2,58.9,22.1
3,0,90.6,3.33,27.2,50.8,65.8,37.6
9,1,115.8,5.25,26.6,55.9,100.0,20.9
3,0,141.2,5.36,28.2,52.8,100.0,30.1
4,0,85.5,3.68,30.2,39.2,69.7,48.0
10,0,93.5,4.1,28.4,34.5,78.5,60.7
12,0,0.0,1.13,18.3,36.5,20.6,29.5
9,1,116.7,4.72,29.0,40.3,100.0,35.4
11,0,28.6,1.93,20.7,45.8,40.0,32.2
11,0,18.2,1.78,19.6,29.0,17.1,34.9
6,1,32.6,2.75,32.1,31.1,34.5,67.6
10,0,104.3,4.34,28.5,38.5,90.5,13.8
4,0,52.1,3.07,29.7,34.0,63.1,50.4
6,1,288.7,8.29,28.2,74.1,100.0,0.0
7,1,173.2,6.55,31.6,55.9,100.0,20.4
12,0,17.3,1.98,19.1,37.0,33.4,23.7
11,0,28.0,2.49,19.8,42.2,45.8,34.2
6,1,110.9,4.11,33.2,36.8,82.0,43.7
8,1,103.6,4.68,33.4,40.0,92.3,48.8
3,0,63.5,2.74,30.5,40.1,50.2,46.4
10,0,97.3,3.82,28.1,43.8,68.9,37.7
7,1,77.5,3.87,30.7,34.4,65.2,60.5
7,1,51.6,2.23,30.4,32.0,30.8,55.4
10,0,97.2,2.79,22.7,51.5,45.9,23.1
8,1,133.6,5.33,34.3,37.1,100.0,47.9
1,0,10.7,1.75,19.2,31.5,20.8,31.7
4,0,8.7,2.68,28.3,31.7,43.7,54.7
3,0,47.6,2.8,28.7,32.0,56.1,48.5
9,1,179.4,6.34,27.9,47.3,100.0,23.0
1,0,25.2,1.99,17.7,46.4,42.7,20.7
3,0,44.5,3.05,30.9,26.5,42.6,53.5
8,1,307.6,8.5,31.7,69.8,100.0,0.0
9,1,127.3,5.16,29.5,42.4,100.0,21.3
7,1,127.4,4.59,30.7,43.1,100.0,34.0
11,0,31.9,2.99,22.7,32.2,59.4,39.9
12,0,17.3,2.08,22.3,38.3,33.7,51.4
2,0,8.9,1.25,16.3,38.8,0.0,35.4
12,0,13.3,1.7,24.1,37.6,25.0,33.6
8,1,284.2,8.69,33.4,62.8,100.0,5.7
8,1,292.9,8.41,30.6,80.1,100.0,0.0
2,0,6.0,1.3,17.0,27.8,22.7,32.5
8,1,176.7,5.84,33.6,41.7,100.0,34.2
9,1,186.9,6.64,32.2,61.1,100.0,14.4
7,1,104.1,4.57,27.4,46.1,82.0,44.5
2,0,14.4,1.52,19.4,38.3,23.4,27.6
7,1,180.4,5.51,38.8,48.2,100.0,44.5
12,0,27.5,2.1,20.0,41.0,44.2,8.3
9,1,273.0,8.05,29.1,69.1,100.0,0.0
2,0,11.4,1.53,17.5,32.9,22.2,40.4
12,0,12.6,1.87,24.4,36.4,27.4,35.1
12,0,22.3,2.39,22.1,39.0,34.7,31.2
3,0,50.7,2.93,30.5,40.3,43.6,52.1
10,0,89.4,3.62,27.6,50.1,55.4,29.6
5,0,67.1,2.7,30.1,37.6,44.4,50.8
8,1,105.4,4.47,28.9,36.6,82.2,37.0
6,1,106.3,4.2,31.4,49.7,93.8,50.5
10,0,117.8,3.5,27.7,40.4,65.6,26.9
12,0,13.3,1.78,23.5,34.9,26.5,63.9
10,0,124.1,3.51,27.8,45.1,63.9,38.1
12,0,9.4,1.74,18.4,34.5,25.4,38.9
12,0,18.2,1.28,20.2,40.4,0.0,22.2
2,0,41.3,1.33,15.8,44.8,38.5,21.7
4,0,35.1,2.69,21.2,40.9,43.2,34.8
9,1,33.9,3.09,33.1,24.5,24.8,50.8
8,1,279.1,7.78,30.1,66.9,100.0,0.0
1,0,5.9,0.96,19.3,31.6,0.0,39.6
2,0,14.8,2.05,22.1,33.6,22.4,39.0
7,1,134.9,6.22,34.5,42.0,100.0,39.3
8,1,200.6,6.47,32.3,63.4,100.0,22.5
3,0,38.6,2.14,31.8,29.0,25.5,54.0
3,0,64.1,3.42,28.3,26.4,49.2,47.7
2,0,19.9,0.81,20.8,43.4,15.2,24.3
7,1,102.4,5.93,31.6,42.3,100.0,45.8
1,0,7.3,3.11,16.8,37.0,44.4,13.4
7,1,153.3,4.14,33.4,44.1,89.8,32.8
6,1,70.0,4.04,24.9,35.9,63.8,22.6
6,1,147.5,5.22,29.5,58.2,100.0,16.8
9,1,189.1,6.32,31.1,53.8,100.0,25.3
7,1,149.2,5.43,29.0,40.5,100.0,36.3
9,1,159.1,6.37,29.9,51.6,100.0,17.1
10,0,69.3,2.82,31.6,41.2,54.5,51.8
12,0,7.8,1.11,22.8,33.7,1.2,41.0
10,0,92.8,3.25,25.3,39.2,72.7,42.4
7,1,290.6,8.82,29.8,64.8,100.0,0.0
6,1,144.2,4.87,27.8,44.8,100.0,1.6
3,0,86.0,2.23,28.8,47.5,49.1,41.5
8,1,161.5,7.13,30.4,49.6,100.0,21.4
2,0,19.0,1.49,15.1,32.4,27.4,22.7
12,0,32.2,2.06,20.3,40.6,34.2,31.2
11,0,20.6,1.67,21.1,36.9,16.8,23.3
2,0,0.0,1.83,22.4,29.8,14.8,46.2
10,0,85.0,4.26,26.8,36.2,83.6,42.4
2,0,28.6,2.42,19.1,33.7,37.7,34.2
9,1,162.9,5.05,36.0,51.1,100.0,31.3
2,0,26.0,1.19,20.0,39.1,22.0,37.9
6,1,126.9,5.0,32.8,45.2,100.0,30.7
8,1,65.6,3.85,29.7,37.3,75.8,41.4
9,1,190.9,5.48,32.7,54.1,100.0,21.6
6,1,44.8,4.09,27.4,32.5,76.8,50.3
12,0,12.4,1.1,18.8,35.7,14.6,29.2
10,0,112.5,4.65,24.0,53.5,100.0,25.5
3,0,7.0,2.73,25.5,37.7,47.5,48.2
9,1,81.5,4.18,34.1,28.8,74.7,60.5
9,1,100.5,4.97,29.5,40.5,94.3,40.7
5,0,67.9,2.12,28.8,41.3,53.5,47.3
9,1,151.8,6.11,34.8,54.4,100.0,34.8
11,0,30.4,1.81,19.9,47.5,35.3,8.7
10,0,101.5,2.88,29.5,37.7,54.3,49.2
10,0,86.3,3.05,28.3,46.7,45.5,34.9
8,1,191.2,6.24,31.3,53.9,100.0,25.1
4,0,83.0,2.96,28.9,44.6,61.0,33.8
10,0,41.6,2.9,31.6,34.9,53.2,41.4
5,0,98.3,2.99,25.4,38.1,62.3,13.5
7,1,94.4,5.63,28.6,44.0,100.0,27.6
4,0,97.6,2.66,24.5,50.1,59.0,25.4
4,0,109.1,4.65,29.5,42.7,85.6,46.2
2,0,17.3,1.24,22.8,33.1,18.0,44.1
12,0,13.1,1.76,18.7,29.2,22.4,27.4
2,0,19.4,1.59,14.7,44.6,18.3,9.0
2,0,0.0,1.29,18.3,36.4,16.2,42.9
12,0,18.3,2.35,21.4,31.0,33.6,29.2
7,1,171.3,7.03,30.8,49.4,100.0,41.6
6,1,176.1,6.94,31.5,52.0,100.0,38.6
9,1,234.4,7.15,29.7,58.6,100.0,23.4
5,0,67.5,2.96,29.5,36.5,64.2,49.5
2,0,2.5,1.08,20.9,24.9,7.6,42.5
9,1,169.1,5.49,32.5,56.1,100.0,26.8
3,0,72.2,2.26,27.4,39.0,30.4,46.6
7,1,188.8,6.21,32.3,47.0,100.0,21.9
12,0,16.8,1.99,21.1,23.3,32.5,36.1
12,0,26.4,0.88,17.7,45.0,17.3,18.4
5,0,34.2,2.16,27.9,35.6,14.9,42.5
10,0,75.8,3.93,29.0,39.2,72.9,52.0
8,1,279.3,8.96,33.9,69.1,100.0,0.0
6,1,46.4,3.28,32.0,35.6,60.8,56.5
2,0,17.0,1.0,17.6,39.4,7.0,33.6
5,0,50.7,2.79,25.0,36.4,45.5,49.3
8,1,151.5,4.34,29.9,46.7,98.8,29.3
12,0,5.0,2.27,20.5,36.5,24.5,39.0
1,0,13.1,1.63,19.7,43.2,17.7,20.2
9,1,321.8,10.23,28.2,75.2,100.0,0.0
11,0,1.1,0.49,17.2,43.8,10.6,34.3
12,0,2.1,2.09,14.8,40.4,34.6,6.1
6,1,79.8,4.23,23.2,45.3,88.8,38.7
2,0,34.0,1.98,19.7,51.4,34.4,13.8
4,0,54.7,1.77,32.8,40.2,42.6,57.7
11,0,14.7,2.15,24.5,41.0,17.4,40.8
11,0,10.6,2.12,17.6,33.6,44.4,30.3
8,1,107.3,5.92,31.4,52.0,100.0,32.1
2,0,12.4,2.35,16.3,38.4,37.6,16.5
2,0,42.0,1.98,16.7,41.8,39.5,22.6
6,1,287.2,7.84,28.0,59.9,100.0,0.0
8,1,114.3,4.17,30.4,44.4,82.6,25.4
1,0,22.1,2.83,19.5,32.3,37.6,26.0
9,1,116.0,4.55,31.6,44.1,91.0,28.2
7,1,43.2,4.45,32.7,24.5,77.6,61.2
1,0,26.2,2.34,19.2,47.6,41.5,26.0
2,0,27.8,2.25,20.1,40.8,51.1,23.0
6,1,260.5,7.73,28.3,77.9,100.0,0.0
9,1,143.8,5.97,27.6,44.3,100.0,24.4
10,0,64.5,2.78,23.3,48.8,65.7,22.2
6,1,237.7,7.23,32.6,50.5,100.0,18.1
4,0,82.9,3.58,26.2,42.6,63.7,43.7
12,0,10.7,1.63,15.3,36.2,22.2,13.0
6,1,55.3,3.33,30.8,31.4,59.9,68.0
4,0,73.8,3.34,23.9,39.4,50.0,38.8
6,1,263.1,7.92,35.2,56.8,100.0,15.2
1,0,1.8,1.83,18.6,29.1,8.7,46.8
4,0,91.1,3.05,28.7,38.5,64.0,37.2
7,1,205.5,6.09,33.7,54.4,100.0,24.7
12,0,23.3,3.01,17.6,45.2,39.3,16.5
9,1,247.1,8.57,31.2,63.6,100.0,12.0
10,0,47.1,2.97,28.4,40.2,58.5,38.8
7,1,55.5,3.58,31.3,25.9,54.4,59.2
2,0,9.1,1.5,20.9,32.5,0.8,44.5
5,0,99.3,4.32,23.7,49.5,77.3,28.1
12,0,9.0,1.47,21.4,36.0,12.1,31.1
1,0,7.4,1.27,18.8,31.8,24.3,41.2
11,0,0.0,2.62,20.9,38.0,35.8,28.7
9,1,315.0,8.97,33.3,67.9,100.0,0.0
4,0,97.2,4.51,28.7,37.8,87.2,33.3
10,0,95.4,2.57,27.9,44.4,42.2,39.8
11,0,25.6,2.32,21.6,36.6,39.2,35.2
1,0,21.3,3.17,21.7,33.2,40.9,34.3
2,0,12.3,1.76,23.7,30.1,14.6,47.0
8,1,167.4,5.89,30.9,45.0,100.0,28.8
12,0,10.3,1.01,20.4,33.2,22.0,42.3
1,0,44.0,3.03,22.3,44.2,70.2,15.9
8,1,222.8,6.69,29.8,60.8,100.0,5.9
2,0,9.9,1.64,16.7,42.9,17.1,23.3
8,1,215.8,6.28,32.2,59.2,100.0,3.4
8,1,102.2,5.68,30.5,37.9,100.0,31.4
2,0,31.5,2.82,17.0,32.9,26.8,23.9
9,1,129.1,5.26,32.3,38.9,100.0,41.6
11,0,20.5,1.22,23.6,30.9,9.0,44.5
11,0,26.7,2.96,15.9,37.5,31.5,17.5
1,0,19.2,1.67,22.6,39.7,12.3,31.3
3,0,73.1,2.3,20.7,49.3,40.8,14.0
3,0,70.4,1.85,26.0,50.8,37.7,30.7
6,1,175.7,5.83,35.6,44.0,100.0,48.3
2,0,8.7,0.8,19.2,43.9,9.6,9.6
11,0,10.1,1.33,20.2,43.3,23.9,34.9
10,0,118.8,4.32,28.9,43.5,87.8,31.6
10,0,66.4,2.6,22.7,44.2,42.8,30.5
3,0,44.1,2.59,27.2,41.1,42.5,51.1
1,0,9.3,1.25,20.2,35.0,18.3,29.6
11,0,27.1,2.08,24.7,33.7,38.4,51.4
4,0,92.3,4.5,23.9,41.6,84.9,16.8
8,1,223.1,6.95,30.0,47.6,100.0,17.5
11,0,12.2,1.97,17.7,38.0,29.7,25.7
1,0,21.3,0.99,17.4,35.7,13.9,27.7
1,0,7.9,2.57,22.8,27.6,44.3,39.0
1,0,12.1,1.46,20.1,37.9,12.2,36.5
2,0,25.7,2.64,18.6,31.7,34.3,44.8
1,0,24.6,1.92,18.7,42.8,35.2,17.0
10,0,37.6,2.62,25.6,37.6,39.3,43.1
8,1,114.1,5.39,29.8,41.3,100.0,43.6
12,0,16.2,1.55,16.8,38.6,30.2,22.4
10,0,127.0,4.69,26.4,42.0,84.2,37.6
12,0,0.0,1.04,19.1,38.5,24.9,28.9
3,0,79.2,3.55,25.1,42.7,62.3,29.7
4,0,24.6,1.76,27.4,33.1,30.8,42.7
11,0,8.0,1.87,20.6,37.2,23.4,36.3
3,0,58.0,2.38,25.6,35.0,43.0,40.4
1,0,10.4,1.74,19.6,28.2,17.9,44.2
9,1,138.9,4.83,36.4,46.5,100.0,38.8
10,0,70.2,3.05,32.3,38.1,52.9,45.6
12,0,9.1,1.71,17.4,34.8,16.3,33.4
12,0,0.0,1.18,17.7,37.9,25.1,40.8
2,0,23.6,1.94,17.4,45.9,30.4,24.7
10,0,94.8,3.48,29.6,46.2,63.8,50.6
11,0,24.3,1.62,19.0,35.6,9.9,34.9
9,1,61.4,3.85,31.6,26.5,80.6,63.1
10,0,79.9,2.49,32.0,29.8,40.6,60.2
11,0,22.4,3.36,20.0,35.8,69.4,44.6
6,1,100.6,5.35,32.8,46.2,100.0,51.8
1,0,15.1,1.97,21.3,31.6,26.8,31.0
6,1,171.0,6.82,29.5,49.1,100.0,28.6
3,0,130.8,2.93,29.6,42.8,81.9,35.0
2,0,36.2,0.69,17.9,38.5,0.0,22.6
2,0,0.0,1.26,23.3,31.3,12.2,32.5
9,1,372.0,9.31,29.5,75.8,100.0,0.0
7,1,109.5,4.75,29.8,48.0,93.2,29.8
7,1,255.5,7.93,28.3,65.0,100.0,0.0
9,1,254.7,8.35,28.7,77.7,100.0,0.0
7,1,103.3,4.08,29.9,35.7,80.4,48.3
8,1,218.0,7.3,24.9,70.7,100.0,0.0
2,0,13.8,1.78,19.4,43.5,14.7,28.1
11,0,21.1,2.13,18.7,36.1,33.8,21.4
6,1,197.8,6.34,33.0,51.3,100.0,26.6
2,0,28.2,2.89,21.1,32.8,40.4,40.4
10,0,72.5,2.89,25.2,36.1,67.5,25.2
9,1,167.1,7.11,29.9,51.2,100.0,16.0
1,0,27.1,1.57,19.4,38.6,28.9,18.7
3,0,89.2,3.73,30.7,30.8,75.7,53.9
1,0,23.0,1.93,17.9,50.6,31.2,19.1
4,0,48.1,2.26,25.2,35.8,46.5,40.0
2,0,3.5,1.95,17.2,37.1,37.5,27.5
9,1,136.3,5.25,27.3,45.5,100.0,27.6
7,1,132.2,3.75,31.8,43.1,74.7,39.8
12,0,23.6,0.14,20.5,35.4,0.0,30.1
9,1,255.2,8.57,34.2,60.9,100.0,6.5
8,1,168.1,6.8,33.6,48.3,100.0,31.7
7,1,290.2,9.64,37.0,68.0,100.0,6.0
1,0,30.1,2.09,19.8,39.8,27.8,44.9
1,0,17.7,1.08,19.3,40.7,25.1,25.6
8,1,116.7,4.78,27.7,45.3,87.4,31.4
1,0,32.3,2.15,21.7,38.6,26.0,36.9
1,0,14.3,1.18,20.3,34.7,1.6,46.6
3,0,74.2,3.97,28.6,43.2,66.6,32.3
11,0,11.3,3.07,17.2,39.6,56.9,36.3
6,1,111.5,5.22,31.9,40.4,100.0,41.1
9,1,66.9,4.03,31.5,33.9,71.1,72.8
5,0,90.9,2.54,27.3,41.2,54.5,37.8
3,0,44.1,3.31,25.3,36.5,55.7,30.8
5,0,171.0,4.97,30.0,51.4,99.9,20.0
2,0,3.1,1.39,25.1,27.6,30.1,63.4
10,0,28.5,2.36,24.2,38.7,47.7,39.8
3,0,86.8,2.89,28.8,44.1,59.6,36.2
5,0,120.5,4.0,19.8,61.1,79.6,5.7
12,0,15.7,0.95,21.7,32.0,5.8,37.4
8,1,224.1,7.83,26.3,65.9,100.0,0.0
6,1,38.0,3.4,29.7,22.4,53.6,53.6
7,1,127.8,5.95,27.7,51.1,100.0,37.0
10,0,34.6,2.07,26.5,26.7,26.7,41.7
4,0,7.5,1.57,29.1,22.9,3.5,65.4
8,1,189.0,5.75,26.4,58.9,100.0,9.4
11,0,0.0,1.96,19.1,31.6,25.0,37.0
7,1,78.2,3.74,29.7,34.2,71.9,36.9
6,1,138.6,5.18,35.0,40.4,100.0,37.0
2,0,5.9,1.62,21.1,37.7,7.0,40.5
3,0,83.1,3.23,24.1,38.6,60.4,24.4
12,0,18.4,0.84,18.8,37.4,4.9,13.1
7,1,248.8,7.54,34.9,57.5,100.0,19.5
4,0,94.8,3.87,28.8,45.3,83.4,27.6
6,1,267.8,7.83,28.7,71.5,100.0,0.0
7,1,179.9,6.16,30.3,43.5,100.0,24.9
7,1,203.4,6.86,30.4,61.4,100.0,8.6
9,1,219.4,7.01,29.7,56.1,100.0,10.7
4,0,74.7,2.38,22.7,44.2,54.5,15.9
8,1,149.4,5.67,29.3,44.3,100.0,21.7
6,1,154.4,6.38,34.5,47.4,100.0,34.6
12,0,6.0,0.99,19.0,48.4,9.6,15.2
2,0,19.6,1.67,19.7,37.8,15.7,36.9
2,0,14.0,0.95,20.4,33.5,9.6,34.0
6,1,128.9,5.84,36.5,38.9,100.0,39.4
7,1,129.0,5.22,31.0,37.2,100.0,35.6
9,1,86.8,3.93,33.7,43.3,83.1,48.9
5,0,102.3,3.6,25.5,46.5,82.4,21.8
11,0,15.9,1.1,19.4,31.7,23.1,38.4
6,1,113.6,4.35,31.0,37.1,72.3,47.0
2,0,23.9,1.1,18.1,39.2,3.8,45.1
2,0,8.8,1.04,19.5,40.4,33.6,39.7
12,0,0.0,2.31,22.2,26.5,36.4,34.5
2,0,26.2,1.58,18.0,45.1,25.8,18.4
12,0,9.1,1.96,20.0,34.9,25.7,33.3
4,0,56.5,2.13,28.8,30.8,34.5,55.1
2,0,15.5,2.26,17.9,35.6,16.7,21.9
4,0,107.7,3.04,29.7,51.1,58.4,26.4
8,1,181.5,6.35,31.2,45.3,100.0,16.9
6,1,87.7,4.49,30.6,35.0,77.7,42.0
10,0,87.9,4.66,22.0,50.4,85.7,12.6
8,1,142.7,5.93,30.1,48.4,100.0,25.5
5,0,132.3,3.79,27.9,43.5,78.1,18.8
8,1,179.9,6.71,35.4,53.5,100.0,38.4
12,0,0.0,2.78,21.4,37.9,41.5,41.6
5,0,81.8,2.16,29.8,40.1,46.6,30.9
2,0,36.4,1.72,17.0,38.8,22.7,22.1
5,0,122.0,3.8,26.7,44.7,88.9,13.8
11,0,35.1,1.95,23.1,38.3,33.8,46.6
3,0,36.3,2.03,24.8,29.1,19.2,58.8
12,0,25.0,1.22,22.4,42.5,15.7,32.6
8,1,124.4,6.03,32.8,50.9,100.0,28.3
8,1,197.3,5.79,31.7,53.1,100.0,14.9
4,0,28.0,1.94,26.2,35.0,32.2,42.4
12,0,7.9,2.29,17.5,43.1,38.3,23.6
1,0,7.6,1.63,24.4,41.4,25.1,51.8
4,0,99.7,2.91,28.6,49.9,63.3,37.9
6,1,241.7,6.72,31.9,52.1,100.0,22.3
6,1,201.3,6.59,30.0,54.6,100.0,16.0
6,1,76.0,3.77,31.1,39.0,75.9,37.7
2,0,11.6,1.85,20.4,32.9,27.4,31.2
3,0,45.4,1.57,28.0,43.3,18.4,42.2
2,0,24.6,2.48,21.8,44.4,41.9,20.9
7,1,270.7,8.18,29.0,63.3,100.0,0.0
5,0,104.9,3.71,23.3,46.3,84.4,26.9
7,1,121.8,6.0,31.2,39.6,100.0,44.3
8,1,0.0,2.44,26.6,27.7,33.4,60.4
9,1,43.9,3.14,30.2,31.3,59.0,40.2
7,1,289.5,8.16,29.7,74.4,100.0,0.0
8,1,149.1,5.57,32.2,42.1,100.0,23.7
8,1,122.2,5.09,36.0,26.5,92.7,58.2
8,1,306.5,8.33,26.1,67.0,100.0,0.0
8,1,277.4,7.03,36.7,57.1,100.0,19.2
4,0,70.8,2.58,26.4,36.2,53.3,29.1
3,0,60.3,2.92,27.9,37.7,51.8,34.3
10,0,65.6,2.89,23.5,35.7,59.2,36.3
5,0,77.5,3.77,29.5,32.0,61.9,52.2
7,1,303.2,9.94,31.1,66.0,100.0,0.0
